client_id;metadata_date_conversation;metadata_duration;metadata_language;identite_genre;identite_age;identite_statut_relationnel;identite_profession;localisation_europe;mobilite_rythme_vie_frequence_deplacement;lifestyle_centres_interet_sport_individuel;lifestyle_centres_interet_art_culture;style_personnel_couleurs_preferees;style_personnel_matieres_preferees;style_personnel_pieces_favorites;projet_achat_motif;projet_achat_budget;reseau_influence_influence;suivi_action;suivi_echeance;suivi_canal_contact;metadata_client_regime_alimentaire;metadata_client_allergies;lifestyle_centres_interet_voyage;localisation_moyen_orient_asie;localisation_amerique;lifestyle_centres_interet_sport_collectif;metadata_profile_version;identite_langue_parlee;identite_profession_secteur_tech_digital;lifestyle_centres_interet_sport_individuel_endurance;lifestyle_centres_interet_voyage_experience;style_personnel_couleurs_preferees_neutres_intemporelles;style_personnel_couleurs_preferees_metalliques;style_personnel_matieres_preferees_naturelles;style_personnel_matieres_preferees_alternatives;style_personnel_pieces_favorites_sacs;projet_achat_motif_role_offrir;preferences_contraintes_regime;preferences_contraintes_valeurs;identite_profession_secteur_entrepreneur_dirigeant;identite_profession_secteur_cadre_manager;identite_profession_secteur_mode_luxe;style_personnel_couleurs_preferees_tons_chauds;style_personnel_pieces_favorites_chaussures;style_personnel_pieces_favorites_accessoires;identite_profession_secteur_profession_liberale;identite_profession_secteur_art_creation;lifestyle_centres_interet_sport_individuel_bien_etre;lifestyle_centres_interet_sport_individuel_outdoor;style_personnel_couleurs_preferees_tons_froids;identite_profession_secteur_medias_communication;identite_profession_secteur_finance_investissement;lifestyle_centres_interet_musique_electronique;lifestyle_centres_interet_musique_classique_elegant;identite_profession_secteur_autres;projet_achat_motif_role_pour_soi;projet_achat_marques_preferees_louis_vuitton;identite_profession_secteur_sport;lifestyle_centres_interet_sport_individuel_raquette;lifestyle_centres_interet_musique_moderne_populaire
CA_029;2026-01-28;40 min;Allemand;Femme;36-45;VIP;Entrepreneur;Berlin;Mobile;;Art;;Cuir;Sacs;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_030;2026-01-28;50 min;Italien;;56+;VIP;;;Mobile;;Art;Noir, Gris, Cognac, Bordeaux, Beige;;;Anniversaire;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;nickel;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_031;2026-01-29;25 min;Français;Femme;36-45;Fidèle;Cadre;;Mobile;;;Noir;Cuir;;Anniversaire;<5k;;Rappeler;M+1;Email;;;Aventure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_032;2026-01-29;45 min;Anglais;Femme;;VIP;Profession_libérale;;Mobile;Fitness, Yoga;Art;Rose_gold;Cuir;;Cadeau;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Culturel;Singapore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_033;2026-01-30;30 min;Espagnol;Homme;26-35;Fidèle;;;Mobile;;Art;;;;Cadeau;10-15k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_034;2026-01-30;35 min;Allemand;Femme;;Fidèle;;;Mobile;;Opera, Art;Noir, Cognac, Navy;;;Mariage;10-15k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_035;2026-01-31;40 min;Italien;Femme;46-55;Fidèle;Entrepreneur;Milan;Mobile;;;;;;Anniversaire;15-25k;;Rappeler;M+1;Email;Végane;nickel;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_036;2026-01-31;25 min;Français;Femme;56+;Nouveau;Entrepreneur;;Mobile;;Art;;;Montres;Anniversaire;5-10k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_037;2026-02-03;50 min;Anglais;Femme;;VIP;Profession_libérale;London;Mobile;Fitness, Running;Art;Bordeaux, Noir, Cognac, Navy;;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_038;2026-02-03;30 min;Espagnol;Femme;36-45;Fidèle;;;Mobile;;Art;Navy, Cognac;;;Mariage;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_039;2026-02-04;45 min;Allemand;Femme;;VIP;Entrepreneur;Berlin;Mobile;;Opera, Art;Rose_gold, Noir, Navy;;Sacs;Mariage;15-25k;Réseau_affluent;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_040;2026-02-04;35 min;Français;Femme;46-55;VIP;Profession_libérale;;Mobile;;Art;Bordeaux, Noir, Cognac, Blanc;;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Pescetarien;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_041;2026-02-05;20 min;Français;Femme;36-45;Régulier;Cadre;;Mobile;Yoga;;Noir;Cuir;;Cadeau;<5k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_042;2026-02-05;35 min;Anglais;Femme;;Fidèle;Cadre;;Mobile;;Opera;Rose_gold, Bordeaux;;;;5-10k;;Rappeler;M+1;Email;Pescetarien;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_043;2026-02-06;40 min;Italien;Femme;36-45;VIP;;;Mobile;Yoga;;;;;;5-10k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_044;2026-02-06;25 min;Espagnol;Femme;46-55;Fidèle;;;Mobile;;Art;Navy, Cognac;;;Cadeau;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_045;2026-02-07;45 min;Allemand;Femme;;Nouveau;;Berlin, Paris;Mobile;;;Rose_gold, Gris, Beige;;;Mariage;10-15k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_046;2026-02-07;30 min;Français;Femme;26-35;VIP;Entrepreneur;;Mobile;Yoga;Art;;;;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_047;2026-02-10;35 min;Anglais;Femme;;VIP;Entrepreneur;;Mobile;;Art;;;;Cadeau;25k+;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_048;2026-02-10;40 min;Italien;Femme;56+;VIP;;Milan;Mobile;Running;Musees, Art;Noir, Cognac;Cuir;;Diplome;5-10k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_049;2026-02-11;25 min;Français;Homme;46-55;Fidèle;;London;Mobile;;Art;Rose_gold, Cognac;Cuir;;Anniversaire;;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_050;2026-02-11;50 min;Espagnol;Femme;;VIP;Entrepreneur;;Mobile;;;Beige, Cognac;;;Mariage;15-25k;Réseau_affluent;Rappeler;M+1;Email;Pescetarien;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_051;2026-02-12;30 min;Allemand;Femme;36-45;Régulier;;;Mobile;;Art;Noir, Navy;;;Cadeau;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_052;2026-02-12;45 min;Anglais;Femme;;VIP;Profession_libérale;;Mobile;;Opera;Rose_gold, Bordeaux, Noir, Cognac;;;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Luxe, Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_053;2026-02-13;20 min;Français;Femme;36-45;Nouveau;Profession_libérale;;Mobile;Golf;Art;;Cuir;;Cadeau;<5k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_054;2026-02-13;40 min;Italien;Femme;46-55;Régulier;Cadre;;Mobile;;;;;;Mariage;25k+;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_055;2026-02-14;35 min;Espagnol;Femme;;Fidèle;Cadre;;Mobile;;;Noir, Cognac, Navy;;;Cadeau;10-15k;;Rappeler;M+1;Email;Végane;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_056;2026-02-14;50 min;Anglais;Femme;;VIP;;;Mobile;Fitness, Golf;Art;;;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_057;2026-02-17;30 min;Allemand;Femme;46-55;Régulier;Profession_libérale;;Mobile;Fitness;Art;Navy, Bordeaux;;;Cadeau;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_058;2026-02-17;45 min;Français;Femme;46-55;VIP;Profession_libérale;;Mobile;;Art;Beige, Noir, Cognac;Cuir;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Luxe, Aventure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_059;2026-02-18;25 min;Italien;Femme;36-45;Fidèle;Profession_libérale;;Mobile;;;Noir;Cuir;;Mariage;<5k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_060;2026-02-18;40 min;Espagnol;Femme;46-55;Fidèle;Entrepreneur;;Mobile;;Art;Beige, Cognac;;;Anniversaire;10-15k;;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_061;2026-02-19;30 min;Anglais;Femme;;VIP;Entrepreneur;;Mobile;;Art;;;;;10-15k;Réseau_affluent;Rappeler;M+1;Email;Végane;;Luxe;Dubai;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_062;2026-02-19;35 min;Français;Femme;56+;VIP;Profession_libérale;Paris;Mobile;;Musees, Art;Noir, Cognac;Cuir;;Anniversaire;5-10k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_063;2026-02-20;45 min;Italien;Femme;46-55;Régulier;;;Mobile;;;Blanc, Cognac, Navy;;;;15-25k;;Rappeler;M+1;Email;;;;;;Football;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_064;2026-02-20;25 min;Espagnol;Homme;26-35;Fidèle;;;Mobile;;;;;;;25k+;;Rappeler;M+1;Email;Végane;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_065;2026-02-21;40 min;Allemand;Femme;;Fidèle;;Berlin;Mobile;Yoga;Art;Noir, Gris, Beige;;;Cadeau;5-10k;;Rappeler;M+1;Email;;latex;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_066;2026-02-21;50 min;Anglais;Femme;;VIP;;;Mobile;Yoga;Musees, Art;Rose_gold, Noir, Beige, Navy;;;;25k+;Réseau_affluent;Rappeler;M+1;Email;Pescetarien;;Luxe, Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_067;2026-02-24;30 min;Français;Femme;56+;VIP;Cadre;Paris;Mobile;Golf;Art;Bordeaux, Cognac;Cuir;;Cadeau;10-15k;Réseau_affluent;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_068;2026-02-24;35 min;Italien;Femme;36-45;Fidèle;;Milan;Mobile;;Art;Rose_gold, Noir, Cognac;;;Mariage;5-10k;;Rappeler;M+1;Email;;nickel;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_069;2026-02-25;25 min;Espagnol;Femme;46-55;Fidèle;;;Mobile;;;Navy, Cognac;;;Mariage;5-10k;;Rappeler;M+1;Email;Végétarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_070;2026-02-25;45 min;Allemand;Femme;;VIP;;Berlin;Mobile;Running;;Noir, Gris, Rose_gold, Beige, Navy;;Chaussures, Sacs;Mariage;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_071;2026-02-26;30 min;Français;Femme;46-55;Occasionnel;;;Mobile;;Art;Noir, Cognac, Navy;Cuir;;Cadeau;10-15k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_072;2026-02-26;40 min;Anglais;Femme;;Fidèle;;;Mobile;Fitness;Art;Bordeaux, Noir, Navy;;;;10-15k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_073;2026-02-27;50 min;Italien;;56+;VIP;Entrepreneur;Milan;Mobile;;;Noir, Cognac, Navy;;;;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_074;2026-02-27;25 min;Espagnol;Homme;26-35;VIP;;;Mobile;Fitness;;;;;Anniversaire;10-15k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_075;2026-03-02;35 min;Allemand;Femme;46-55;Régulier;;;Mobile;;Art;Beige, Cognac;;;Anniversaire;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_076;2026-03-02;45 min;Français;Femme;56+;VIP;;;Mobile;;Musees, Art;Beige, Gris, Cognac, Navy;Cuir;;Anniversaire;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;fruits_coque;Luxe, Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_077;2026-03-03;30 min;Anglais;Femme;;VIP;;London;Mobile;Tennis;Art;;;;;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_078;2026-03-03;40 min;Italien;Femme;56+;Fidèle;Artiste;;Mobile;;Art;Bordeaux, Cognac;Cuir;;Mariage;10-15k;;Rappeler;M+1;Email;;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_079;2026-03-04;25 min;Espagnol;Femme;;Fidèle;;;Mobile;Yoga;;Rose_gold, Cognac;;;Mariage;5-10k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_080;2026-03-04;50 min;Anglais;Femme;;VIP;;;Mobile;;Art;Bordeaux, Noir, Cognac, Navy;;;Cadeau;25k+;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Luxe, Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_081;2026-03-05;30 min;Français;Femme;36-45;Fidèle;Profession_libérale;;Mobile;Yoga;;Beige, Cognac;Cuir;;;5-10k;;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_082;2026-03-05;35 min;Anglais;Femme;;Fidèle;;London;Mobile;Fitness, Yoga;;;;;Anniversaire;5-10k;;Rappeler;M+1;Email;Végane;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_083;2026-03-06;45 min;Allemand;Femme;;Régulier;Profession_libérale;;Mobile;Fitness;Art;Noir, Beige, Navy;;;Mariage;15-25k;;Rappeler;M+1;Email;;;Aventure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_084;2026-03-06;25 min;Italien;Femme;36-45;Fidèle;Profession_libérale;;Mobile;Running;;Noir, Cognac;Cuir;;Anniversaire;5-10k;;Rappeler;M+1;Email;Végétarien;;;;New_York;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_085;2026-03-09;40 min;Espagnol;Femme;56+;VIP;;Madrid;Mobile;;Art;Gris, Navy;;;Mariage;25k+;Réseau_affluent;Rappeler;M+1;Email;Pescetarien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_086;2026-03-09;50 min;Anglais;Femme;;VIP;;;Mobile;;Musees, Opera, Art;Noir, Cognac, Rose_gold, Bordeaux, Navy;;;Anniversaire;15-25k;Réseau_affluent;Rappeler;M+1;Email;Végétarien;;Culturel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_087;2026-03-10;30 min;Français;Femme;36-45;VIP;;;Mobile;;;Blanc;Cuir;;Cadeau;10-15k;Réseau_affluent;Rappeler;M+1;Email;;;Luxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_088;2026-03-10;35 min;Allemand;Femme;46-55;Régulier;;;Mobile;;Opera, Art;;;;Cadeau;5-10k;;Rappeler;M+1;Email;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CA_089;2026-03-11;40 min;Italien;Femme;46-55;Fidèle;Cadre;;Mobile;;;Bordeaux, Cognac, Navy;;;Mariage;10-15k;;Rappeler;M+1;Email;Végétarien;nickel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
